Hi	INTJ	CCONJ
,	PUNCT	PUNCT
I'm	AUX	CCONJ
Nancy	PROPN	VERB
Muda	PROPN	VERB
and	CCONJ	CCONJ
I'm	AUX	ADV
currently	ADV	NOUN
pursuing	VERB	ADV
my	PRON	PRON
Computer	PROPN	VERB
Science	PROPN	NOUN
Engineering	PROPN	VERB
degree	NOUN	NOUN
in	ADP	ADP
Triple	PROPN	PROPN
IT	PROPN	PRON
Hyderabad	PROPN	VERB
.	PUNCT	PUNCT

I	PRON	ADV
have	VERB	AUX
lived	VERB	VERB
in	ADP	ADP
London	PROPN	ADJ
most	ADJ	ADV
of	ADP	ADP
my	PRON	PRON
life	NOUN	NOUN
,	PUNCT	PUNCT
but	CCONJ	CCONJ
I'm	AUX	CCONJ
originally	ADV	NOUN
from	ADP	ADP
Pune	PROPN	PROPN
in	ADP	ADP
India	PROPN	PROPN
.	PUNCT	PUNCT

Other	ADJ	ADJ
than	ADP	ADP
that	PRON	SCONJ
,	PUNCT	PUNCT
in	ADP	ADP
my	PRON	PRON
free	ADJ	ADJ
time	NOUN	NOUN
I	PRON	VERB
I	PRON	VERB
usually	ADV	ADV
like	VERB	VERB
to	PART	PART
dance	VERB	VERB
,	PUNCT	PUNCT
catch	VERB	CCONJ
up	ADP	ADP
with	ADP	ADP
my	PRON	PRON
friends	NOUN	NOUN
and	CCONJ	CCONJ
recently	ADV	ADJ
I've	AUX	CCONJ
got	VERB	ADJ
into	ADP	ADP
coding	NOUN	ADJ
and	CCONJ	CCONJ
dance	NOUN	ADJ
has	AUX	VERB
been	VERB	AUX
a	DET	DET
really	ADV	ADJ
important	ADJ	ADJ
part	NOUN	NOUN
of	ADP	ADP
my	PRON	PRON
life	NOUN	NOUN
for	ADP	ADP
as	ADV	ADP
long	ADJ	ADJ
as	ADP	ADP
I	PRON	PROPN
can	VERB	AUX
remember	VERB	CCONJ
and	CCONJ	CCONJ
it	PRON	PRON
has	AUX	VERB
always	ADV	ADV
kept	VERB	VERB
me	PRON	PRON
engaged	VERB	VERB
and	CCONJ	CCONJ
energised	VERB	ADJ
.	PUNCT	PUNCT

I	PRON	PUNCT
have	VERB	AUX
not	PART	ADV
had	VERB	VERB
much	ADJ	ADV
formal	ADJ	ADV
training	NOUN	NOUN
in	ADP	ADP
it	PRON	PRON
,	PUNCT	PUNCT
but	CCONJ	CCONJ
I	PRON	CCONJ
even	ADV	ADV
in	ADP	ADP
college	NOUN	ADJ
dance	NOUN	PROPN
at	ADP	ADP
many	ADJ	ADJ
events	NOUN	NOUN
frequently	ADV	ADV
.	PUNCT	PUNCT

Another	DET	DET
thing	NOUN	NOUN
I	PRON	PROPN
like	VERB	ADP
doing	VERB	PROPN
a	DET	DET
lot	NOUN	NOUN
is	AUX	AUX
just	ADV	ADV
spending	VERB	NOUN
time	NOUN	NOUN
with	ADP	ADP
my	PRON	PRON
family	NOUN	NOUN
because	SCONJ	SCONJ
we	PRON	PRON
moved	VERB	VERB
around	ADP	ADV
a	DET	DET
lot	NOUN	NOUN
growing	VERB	NOUN
up	ADP	ADP
.	PUNCT	PUNCT

My	PRON	PRON
brother	NOUN	NOUN
and	CCONJ	CCONJ
my	PRON	PRON
parents	NOUN	PROPN
have	VERB	AUX
really	ADV	PROPN
been	VERB	AUX
the	DET	DET
people	NOUN	NOUN
that	PRON	PRON
are	AUX	AUX
closest	ADJ	VERB
to	ADP	PART
me	PRON	PRON
.	PUNCT	PUNCT
I	PRON	PUNCT
live	VERB	VERB
in	ADP	ADP
a	DET	DET
little	ADJ	ADJ
bungalow	NOUN	NOUN
in	ADP	ADP
northwest	NOUN	PROPN
London	PROPN	PUNCT
.	PUNCT	PUNCT

I	PRON	PUNCT
live	VERB	ADJ
with	ADP	ADP
my	PRON	PRON
parents	NOUN	PROPN
and	CCONJ	CCONJ
my	PRON	PRON
older	ADJ	NOUN
brother	NOUN	NOUN
and	CCONJ	CCONJ
we	PRON	PRON
have	VERB	AUX
a	DET	DET
three	NUM	ADJ
bedroom	NOUN	ADJ
house	NOUN	NOUN
with	ADP	ADP
a	DET	DET
really	ADV	ADJ
big	ADJ	ADJ
garden	NOUN	NOUN
and	CCONJ	CCONJ
a	DET	DET
trampoline	NOUN	ADJ
which	PRON	PRON
is	AUX	AUX
where	ADV	ADV
I	PRON	VERB
spend	VERB	VERB
most	ADJ	ADV
of	ADP	ADP
my	PRON	PRON
time	NOUN	NOUN
.	PUNCT	PUNCT

We	PRON	PRON
live	VERB	VERB
in	ADP	ADP
quite	ADV	NUM
a	DET	DET
friendly	ADJ	ADJ
neighbourhood	NOUN	ADJ
and	CCONJ	CCONJ
so	ADV	ADV
we	PRON	PRON
have	VERB	AUX
both	DET	DET
our	DET	PRON
neighbours	NOUN	NOUN
kids	NOUN	PROPN
coming	VERB	VERB
over	ADP	ADP
all	ADV	DET
the	DET	DET
time	NOUN	NOUN
and	CCONJ	CCONJ
my	PRON	PRON
brother	NOUN	NOUN
and	CCONJ	CCONJ
I	PRON	ADJ
play	VERB	NOUN
with	ADP	ADP
them	PRON	PRON
a	DET	DET
lot	NOUN	NOUN
and	CCONJ	CCONJ
we	PRON	PRON
stay	VERB	VERB
occupied	ADJ	VERB
that	DET	SCONJ
way	NOUN	NOUN
.	PUNCT	PUNCT

We	PRON	PRON
also	ADV	ADV
stay	VERB	VERB
in	ADP	ADP
a	DET	DET
area	NOUN	NOUN
that	PRON	PRON
has	VERB	VERB
quite	ADV	VERB
a	DET	DET
lot	NOUN	NOUN
of	ADP	ADP
greenery	NOUN	NOUN
and	CCONJ	CCONJ
so	ADV	ADV
we	PRON	PRON
tend	VERB	VERB
to	PART	PART
go	VERB	VERB
out	ADP	ADV
on	ADP	ADP
walks	NOUN	VERB
a	DET	DET
lot	NOUN	NOUN
and	CCONJ	CCONJ
sometimes	ADV	ADV
if	SCONJ	SCONJ
the	DET	DET
weather	NOUN	NOUN
permits	VERB	PROPN
in	ADP	ADP
the	DET	DET
UK	PROPN	PROPN
we	PRON	PRON
go	VERB	VERB
and	CCONJ	CCONJ
picnics	NOUN	ADJ
as	ADV	ADV
well	ADV	ADV
.	PUNCT	PUNCT
A	DET	DET
memorable	ADJ	ADJ
experience	NOUN	NOUN
that	PRON	PRON
I	PRON	VERB
had	VERB	AUX
recently	ADV	ADV
was	AUX	AUX
that	SCONJ	SCONJ
I	PRON	ADV
signed	VERB	VERB
up	ADP	ADP
to	ADP	ADP
a	DET	DET
dance	NOUN	ADJ
workshop	NOUN	NOUN
hosted	VERB	ADJ
by	ADP	ADP
two	NUM	NUM
dancers	NOUN	ADJ
that	PRON	PRON
I	PRON	PROPN
have	AUX	AUX
admired	VERB	VERB
most	ADV	ADV
of	ADP	ADP
my	PRON	ADJ
life	NOUN	NOUN
.	PUNCT	PUNCT

I	PRON	PUNCT
saw	VERB	NOUN
a	DET	DET
post	NOUN	NOUN
that	SCONJ	PRON
they	PRON	PRON
were	AUX	AUX
going	VERB	VERB
to	PART	ADP
be	VERB	AUX
taking	VERB	VERB
the	DET	DET
class	NOUN	NOUN
in	ADP	ADP
the	DET	DET
same	ADJ	ADJ
city	NOUN	NOUN
that	SCONJ	PRON
I	PRON	VERB
was	AUX	AUX
in	ADP	ADP
and	CCONJ	CCONJ
I	PRON	PROPN
enrolled	VERB	NOUN
almost	ADV	ADV
immediately	ADV	ADV
.	PUNCT	PUNCT

I	PRON	PUNCT
ended	VERB	ADV
up	PART	ADP
going	VERB	ADJ
and	CCONJ	CCONJ
having	VERB	VERB
a	DET	DET
wonderful	ADJ	ADJ
time	NOUN	NOUN
.	PUNCT	PUNCT

I	PRON	PUNCT
learnt	VERB	VERB
the	DET	DET
dance	NOUN	NOUN
and	CCONJ	CCONJ
I	PRON	ADJ
was	AUX	AUX
really	ADV	ADV
excited	ADJ	ADV
to	PART	PART
meet	VERB	VERB
people	NOUN	NOUN
that	PRON	SCONJ
were	AUX	VERB
just	ADV	ADV
as	ADP	ADP
passionate	ADJ	ADJ
as	ADP	ADP
I	PRON	CCONJ
was	AUX	AUX
about	ADP	ADV
dancing	NOUN	VERB
.	PUNCT	PUNCT

This	DET	DET
form	NOUN	NOUN
of	ADP	ADP
dance	NOUN	ADJ
and	CCONJ	CCONJ
watching	VERB	VERB
these	DET	DET
dances	NOUN	ADJ
that	PRON	PRON
I	PRON	VERB
had	VERB	AUX
looked	VERB	VERB
up	ADP	ADP
to	ADP	ADP
most	ADV	ADV
of	ADP	ADP
my	PRON	PRON
life	NOUN	NOUN
in	ADP	ADP
real	ADJ	ADJ
life	NOUN	NOUN
performing	VERB	CCONJ
and	CCONJ	CCONJ
teaching	VERB	VERB
me	PRON	PRON
,	PUNCT	PUNCT
was	AUX	AUX
an	DET	DET
unforgettable	ADJ	ADJ
experience	NOUN	NOUN
.	PUNCT	PUNCT
For	ADP	ADP
the	DET	DET
future	NOUN	NOUN
,	PUNCT	PUNCT
I	PRON	PROPN
plan	VERB	VERB
on	ADP	ADP
working	VERB	VERB
in	ADP	ADP
the	DET	DET
technology	NOUN	NOUN
industry	NOUN	NOUN
,	PUNCT	PUNCT
seeming	VERB	PROPN
that	SCONJ	SCONJ
I	PRON	VERB
have	VERB	AUX
CC	NOUN	VERB
degree	NOUN	ADJ
,	PUNCT	PUNCT
but	CCONJ	CCONJ
I'm	AUX	ADV
not	PART	ADV
sure	ADJ	VERB
whether	SCONJ	SCONJ
I	PRON	ADV
want	VERB	NOUN
to	PART	PART
work	VERB	VERB
as	ADP	SCONJ
a	DET	DET
software	NOUN	ADJ
engineer	NOUN	NOUN
or	CCONJ	CCONJ
as	ADP	ADP
a	DET	DET
product	NOUN	NOUN
manager	NOUN	NOUN
.	PUNCT	PUNCT

I	PRON	PUNCT
also	ADV	ADV
am	AUX	ADV
not	PART	ADV
sure	ADJ	VERB
whether	SCONJ	SCONJ
I'd	AUX	PROPN
want	VERB	NOUN
to	PART	PART
end	VERB	VERB
up	PART	ADP
working	VERB	VERB
in	ADP	ADP
India	PROPN	PROPN
or	CCONJ	CCONJ
UK	PROPN	CCONJ
.	PUNCT	PUNCT

I'm	AUX	ADV
drawn	VERB	VERB
towards	ADP	SCONJ
the	DET	DET
UK	PROPN	NOUN
or	CCONJ	CCONJ
London	PROPN	CCONJ
specifically	ADV	ADV
because	SCONJ	SCONJ
of	ADP	ADP
my	PRON	PRON
close	ADJ	ADJ
network	NOUN	NOUN
of	ADP	ADP
friends	NOUN	NOUN
and	CCONJ	CCONJ
family	NOUN	NOUN
that	PRON	PRON
I	PRON	PROPN
have	VERB	AUX
there	ADV	DET
.	PUNCT	PUNCT

But	CCONJ	CCONJ
whenever	ADV	ADV
I	PRON	CCONJ
think	VERB	VERB
about	ADP	ADP
India	PROPN	ADV
,	PUNCT	PUNCT
I'm	AUX	CCONJ
drawn	VERB	VERB
towards	ADP	SCONJ
it	PRON	PRON
because	SCONJ	SCONJ
I	PRON	PROPN
just	ADV	ADV
live	VERB	VERB
.	PUNCT	PUNCT

It	PRON	PRON
would	AUX	AUX
be	VERB	AUX
a	DET	DET
great	ADJ	ADJ
experience	NOUN	NOUN
in	ADP	ADP
other	ADJ	ADJ
ways	NOUN	NOUN
,	PUNCT	PUNCT
and	CCONJ	CCONJ
if	SCONJ	SCONJ
I	PRON	CCONJ
were	AUX	AUX
to	PART	PART
have	VERB	VERB
kids	NOUN	VERB
in	ADP	ADP
the	DET	DET
future	NOUN	NOUN
,	PUNCT	PUNCT
I	PRON	PROPN
would	AUX	AUX
love	VERB	VERB
for	ADP	ADP
them	PRON	PRON
to	PART	PART
have	VERB	VERB
a	DET	DET
more	ADJ	ADV
diverse	ADJ	ADJ
experience	NOUN	NOUN
to	PART	ADP
learn	VERB	VERB
from	ADP	ADP
.	PUNCT	PUNCT
If	SCONJ	SCONJ
I	PRON	ADJ
could	AUX	AUX
travel	VERB	VERB
anywhere	ADV	VERB
in	ADP	ADP
the	DET	DET
world	NOUN	NOUN
I	PRON	PROPN
would	AUX	AUX
probably	ADV	ADV
want	VERB	NOUN
to	PART	PART
do	VERB	VERB
a	DET	DET
backpacking	NOUN	ADJ
trip	NOUN	ADJ
with	ADP	ADP
a	DET	DET
few	ADJ	ADJ
of	ADP	ADP
my	PRON	PRON
closest	ADJ	NOUN
friends	NOUN	NOUN
through	ADP	ADP
Central	ADJ	NOUN
Europe	PROPN	NOUN
.	PUNCT	PUNCT

And	CCONJ	CCONJ
one	NUM	NUM
of	ADP	ADP
the	DET	DET
reasons	NOUN	NOUN
being	VERB	AUX
I	PRON	VERB
have	VERB	VERB
just	ADV	ADV
always	ADV	ADV
loved	VERB	VERB
learning	VERB	NOUN
about	ADP	ADP
the	DET	DET
beauty	NOUN	NOUN
and	CCONJ	CCONJ
history	NOUN	NOUN
of	ADP	ADP
these	DET	DET
countries	NOUN	NOUN
.	PUNCT	PUNCT

And	CCONJ	CCONJ
I	PRON	PROPN
had	VERB	AUX
travelled	VERB	VERB
to	ADP	ADP
Croatia	PROPN	VERB
a	DET	DET
couple	NOUN	NOUN
of	ADP	ADP
years	NOUN	NOUN
ago	ADV	ADV
and	CCONJ	CCONJ
it	PRON	PRON
was	AUX	AUX
it	PRON	PRON
quickly	ADV	VERB
became	VERB	VERB
probably	ADV	ADV
my	PRON	PRON
favourite	ADJ	PROPN
holiday	NOUN	NOUN
that	PRON	SCONJ
I've	AUX	VERB
ever	ADV	ADV
been	VERB	AUX
on	ADP	ADP
.	PUNCT	PUNCT

And	CCONJ	CCONJ
I	PRON	ADJ
just	ADV	ADV
want	VERB	NOUN
to	PART	PART
,	PUNCT	PUNCT
you	PRON	PRON
know	VERB	VERB
,	PUNCT	PUNCT
see	VERB	VERB
more	ADJ	ADV
countries	NOUN	NOUN
with	ADP	ADP
the	DET	DET
same	ADJ	ADJ
sense	NOUN	NOUN
of	ADP	ADP
beauty	NOUN	NOUN
and	CCONJ	CCONJ
history	NOUN	NOUN
match	NOUN	NOUN
to	ADP	ADP
them	PRON	PRON
first	ADJ	ADJ
hand	NOUN	NOUN
.	PUNCT	PUNCT

Moreover	ADV	PUNCT
,	PUNCT	PUNCT
after	ADP	ADP
my	PRON	PRON
GCSE's	NOUN	PROPN
,	PUNCT	PUNCT
my	PRON	PRON
friends	NOUN	NOUN
and	CCONJ	CCONJ
I	PRON	ADJ
had	VERB	AUX
all	ADV	ADV
made	VERB	ADJ
a	DET	DET
plan	NOUN	NOUN
that	SCONJ	PRON
we	PRON	PRON
would	AUX	AUX
go	VERB	VERB
on	ADP	ADP
a	DET	DET
backpacking	NOUN	ADJ
trip	NOUN	NOUN
for	ADP	ADP
,	PUNCT	PUNCT
you	PRON	PRON
know	VERB	VERB
,	PUNCT	PUNCT
a	DET	DET
while	NOUN	ADJ
through	ADP	ADP
Central	ADJ	NOUN
Europe	PROPN	NOUN
.	PUNCT	PUNCT

And	CCONJ	CCONJ
so	ADV	ADV
making	VERB	VERB
this	DET	DET
happen	VERB	NOUN
would	AUX	AUX
be	VERB	AUX
nothing	NOUN	NOUN
short	ADJ	ADJ
of	ADP	ADP
a	DET	DET
dream	NOUN	NOUN
come	VERB	NOUN
true	ADJ	_
.	PUNCT	PUNCT
