Bonjour	INTJ	ADV
,	PUNCT	PUNCT
je	PRON	PRON
m'appelle	VERB	VERB
Arani	PROPN	VERB
,	PUNCT	PUNCT
j'ai	VERB	VERB
18	NUM	VERB
ans	NOUN	NOUN
et	CCONJ	CCONJ
je	PRON	PRON
suis	VERB	AUX
en	ADP	ADP
première	ADJ	ADJ
année	NOUN	NOUN
de	ADP	ADP
licence	NOUN	DET
scientifique	ADJ	NOUN
à	ADP	ADP
l'université	NOUN	DET
.	PUNCT	PUNCT

J'	PRON	PROPN
adore	VERB	ADJ
les	DET	DET
sciences	NOUN	PROPN
,	PUNCT	PUNCT
surtout	ADV	ADV
la	DET	DET
physique	NOUN	NOUN
.	PUNCT	PUNCT

Pendant	ADP	ADP
mon	DET	DET
temps	NOUN	NOUN
libre	ADJ	VERB
,	PUNCT	PUNCT
j'	PRON	PRON
aime	VERB	VERB
jouer	VERB	VERB
du	DET	_
piano	NOUN	PROPN
et	CCONJ	CCONJ
lire	VERB	ADV
des	DET	DET
romans	NOUN	DET
.	PUNCT	PUNCT

Je	PRON	PRON
suis	VERB	AUX
également	ADV	DET
passionné	ADJ	ADV
par	ADP	ADP
les	DET	DET
voyages	NOUN	PROPN
et	CCONJ	CCONJ
j'	PRON	PROPN
espère	VERB	VERB
pouvoir	VERB	VERB
explorer	VERB	ADV
de	ADP	ADP
nouveaux	ADJ	PROPN
endroits	NOUN	PROPN
à	ADP	ADP
l'avenir	NOUN	DET
.	PUNCT	PUNCT
Ma	DET	DET
maison	NOUN	NOUN
est	VERB	AUX
assez	ADV	DET
grande	ADJ	ADJ
et	CCONJ	CCONJ
lumineuse	ADJ	PROPN
.	PUNCT	PUNCT

Elle	PRON	NOUN
est	VERB	AUX
située	VERB	VERB
à	ADP	ADP
la	DET	DET
périphérie	NOUN	PROPN
de	ADP	ADP
la	DET	DET
ville	NOUN	NOUN
,	PUNCT	PUNCT
entourée	VERB	VERB
de	ADP	ADP
verdure	NOUN	PROPN
.	PUNCT	PUNCT

Elle	PRON	PROPN
a	VERB	AUX
3	NUM	VERB
chambres	NOUN	ADV
à	ADP	ADP
salon	NOUN	DET
spatiaux	ADJ	ADV
et	CCONJ	CCONJ
une	DET	DET
cuisine	NOUN	ADJ
moderne	ADJ	VERB
